TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B121-T3,Sample size,61.671 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 11:53:09 AM,,
Sample start time,,5/17/2017 11:53:09 AM,,
Sample size,,61.671 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 11:53:09 AM,,
Stir,,,,
Creation time,,5/17/2017 11:53:09 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 11:53:20 AM,,
Terminated at,,Potential,,
EST,,-50.5 mV,,
VEX,,2.3500 mL,,
VEND,,2.3500 mL,,
t,,11.68 min,,
QEND,,0.023500 mmol,,
QEX,,0.023500 mmol,,
EPD,,203.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-50.5,22.4,
5,0.1000,-52.1,22.4,
25,0.2000,-44.6,22.4,
45,0.3000,-22.9,22.4,
65,0.4000,-2.0,22.4,
85,0.5000,9.8,22.3,
105,0.6000,19.3,22.3,
126,0.7000,27.6,22.3,
144,0.8000,35.0,22.3,
150,0.9000,41.4,22.3,
169,1.0000,49.3,22.3,
176,1.1000,56.3,22.3,
182,1.2000,64.0,22.3,
188,1.3000,74.0,22.3,
195,1.4000,87.2,22.3,
200,1.5000,109.0,22.3,
220,1.6000,148.2,22.3,
240,1.7000,174.2,22.3,
260,1.8000,189.5,22.2,
274,1.9000,199.2,22.2,
641,1.9500,206.9,22.1,
646,2.0000,209.9,22.1,
655,2.0500,212.7,22.1,
662,2.1000,215.1,22.1,
667,2.1500,217.4,22.1,
674,2.2000,219.4,22.1,
680,2.2500,221.3,22.1,
686,2.3000,223.1,22.1,
692,2.3500,224.8,22.1,
Report,,,,
,,Creation time,5/17/2017 12:05:07 PM,
 ,,,,
5/17/2017 12:05:07 PM,SystemInternal,,1/1,
