TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B138-T15,Sample size,61.972 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 2:58:50 PM,,
Sample start time,,5/31/2017 2:58:50 PM,,
Sample size,,61.972 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 2:58:51 PM,,
Stir,,,,
Creation time,,5/31/2017 2:58:51 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 2:59:01 PM,,
Terminated at,,Potential,,
EST,,-38.8 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,13.73 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,203.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-38.8,22.0,
18,0.1000,-48.4,22.0,
23,0.2000,-48.3,22.0,
43,0.3000,-42.3,22.0,
63,0.4000,-29.6,22.0,
83,0.5000,-7.1,22.0,
103,0.6000,5.8,22.0,
124,0.7000,15.8,22.0,
144,0.8000,24.2,22.0,
164,0.9000,31.9,22.0,
184,1.0000,39.2,22.0,
204,1.1000,46.6,22.0,
210,1.2000,53.1,22.0,
230,1.3000,62.3,22.0,
238,1.4000,72.2,22.0,
243,1.5000,85.0,22.0,
263,1.6000,122.9,22.0,
283,1.7000,157.7,22.0,
303,1.8000,178.1,22.0,
323,1.9000,191.1,21.9,
341,2.0000,200.0,21.9,
710,2.0500,205.8,21.8,
720,2.1000,208.4,21.8,
729,2.1500,210.7,21.8,
736,2.2000,212.8,21.8,
743,2.2500,214.8,21.8,
749,2.3000,216.6,21.8,
755,2.3500,218.3,21.8,
763,2.4000,220.0,21.8,
769,2.4500,221.5,21.8,
776,2.5000,223.0,21.8,
782,2.5500,224.3,21.8,
789,2.6000,225.6,21.8,
795,2.6500,226.9,21.8,
802,2.7000,228.0,21.8,
808,2.7500,229.2,21.8,
815,2.8000,230.2,21.8,
Report,,,,
,,Creation time,5/31/2017 3:12:51 PM,
 ,,,,
5/31/2017 3:12:51 PM,SystemInternal,,1/1,
