TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032116-B207-T14,Sample size,60.953 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 11:29:36 AM,,
Sample start time,,6/7/2017 11:29:36 AM,,
Sample size,,60.953 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 11:29:36 AM,,
Stir,,,,
Creation time,,6/7/2017 11:29:37 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 11:29:47 AM,,
Terminated at,,Potential,,
EST,,-66.3 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,12.83 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,206.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-66.3,22.1,
4,0.1000,-70.5,22.1,
24,0.2000,-64.7,22.1,
45,0.3000,-50.4,22.0,
65,0.4000,-21.8,22.0,
85,0.5000,-1.9,22.0,
105,0.6000,10.4,22.0,
125,0.7000,20.5,22.0,
145,0.8000,29.3,22.0,
165,0.9000,37.8,21.9,
185,1.0000,46.2,21.9,
202,1.1000,54.6,21.9,
207,1.2000,63.0,21.9,
212,1.3000,73.7,21.9,
232,1.4000,92.4,21.9,
252,1.5000,125.7,21.9,
273,1.6000,162.9,21.9,
288,1.7000,181.4,21.9,
297,1.8000,192.2,21.9,
305,1.9000,199.8,21.8,
311,2.0000,205.7,21.8,
677,2.0500,208.9,21.6,
683,2.1000,211.1,21.6,
689,2.1500,213.1,21.6,
695,2.2000,215.1,21.6,
701,2.2500,216.8,21.6,
706,2.3000,218.4,21.6,
712,2.3500,219.9,21.6,
717,2.4000,221.4,21.6,
723,2.4500,222.7,21.6,
728,2.5000,224.0,21.6,
733,2.5500,225.2,21.6,
738,2.6000,226.4,21.6,
744,2.6500,227.5,21.6,
750,2.7000,228.6,21.6,
756,2.7500,229.6,21.6,
761,2.8000,230.6,21.6,
Report,,,,
,,Creation time,6/7/2017 11:42:43 AM,
 ,,,,
6/7/2017 11:42:43 AM,SystemInternal,,1/1,
