TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B168-T16,Sample size,65.901 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 12:05:27 PM,,
Sample start time,,5/31/2017 12:05:27 PM,,
Sample size,,65.901 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 12:05:28 PM,,
Stir,,,,
Creation time,,5/31/2017 12:05:28 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 12:05:38 PM,,
Terminated at,,Potential,,
EST,,-29.6 mV,,
VEX,,2.6000 mL,,
VEND,,2.6000 mL,,
t,,13.05 min,,
QEND,,0.026000 mmol,,
QEX,,0.026000 mmol,,
EPD,,198.5 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-29.6,21.6,
3,0.1000,-33.9,21.6,
24,0.2000,-24.5,21.6,
44,0.3000,-1.9,21.6,
64,0.4000,10.9,21.6,
84,0.5000,19.6,21.6,
104,0.6000,27.1,21.6,
124,0.7000,33.8,21.6,
144,0.8000,40.2,21.6,
149,0.9000,44.9,21.6,
170,1.0000,52.6,21.6,
188,1.1000,59.9,21.6,
206,1.2000,68.0,21.6,
226,1.3000,78.3,21.5,
231,1.4000,90.9,21.5,
252,1.5000,118.0,21.5,
272,1.6000,154.2,21.5,
292,1.7000,175.7,21.5,
309,1.8000,188.3,21.5,
319,1.9000,196.6,21.5,
687,1.9500,201.5,21.5,
695,2.0000,204.3,21.5,
703,2.0500,206.8,21.5,
710,2.1000,209.1,21.5,
718,2.1500,211.3,21.5,
724,2.2000,213.2,21.5,
731,2.2500,215.1,21.5,
738,2.3000,216.8,21.5,
743,2.3500,218.4,21.5,
750,2.4000,219.9,21.5,
756,2.4500,221.3,21.5,
762,2.5000,222.6,21.5,
768,2.5500,223.9,21.5,
774,2.6000,225.1,21.5,
Report,,,,
,,Creation time,5/31/2017 12:18:47 PM,
 ,,,,
5/31/2017 12:18:47 PM,SystemInternal,,1/1,
