TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032116-B201-T11,Sample size,63.594 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 10:56:52 AM,,
Sample start time,,6/7/2017 10:56:52 AM,,
Sample size,,63.594 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 10:56:52 AM,,
Stir,,,,
Creation time,,6/7/2017 10:56:53 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 10:57:03 AM,,
Terminated at,,Potential,,
EST,,-52.0 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,13.2 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,204.4 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-52.0,21.9,
3,0.1000,-56.0,22.0,
19,0.2000,-52.0,22.0,
39,0.3000,-38.3,22.0,
59,0.4000,-12.4,21.9,
80,0.5000,3.6,21.9,
100,0.6000,14.2,21.9,
120,0.7000,23.0,21.9,
140,0.8000,30.9,21.9,
160,0.9000,38.3,21.9,
180,1.0000,46.0,21.9,
185,1.1000,52.3,21.9,
205,1.2000,61.6,21.8,
225,1.3000,72.0,21.8,
231,1.4000,83.7,21.8,
251,1.5000,109.1,21.8,
271,1.6000,148.7,21.8,
292,1.7000,173.8,21.8,
308,1.8000,187.7,21.8,
318,1.9000,196.6,21.8,
327,2.0000,203.2,21.7,
694,2.0500,206.9,21.5,
701,2.1000,209.3,21.5,
707,2.1500,211.5,21.5,
713,2.2000,213.5,21.5,
720,2.2500,215.4,21.5,
727,2.3000,217.2,21.5,
733,2.3500,218.7,21.5,
739,2.4000,220.3,21.5,
744,2.4500,221.7,21.5,
750,2.5000,223.1,21.5,
756,2.5500,224.4,21.5,
761,2.6000,225.7,21.5,
767,2.6500,226.8,21.5,
772,2.7000,227.9,21.5,
778,2.7500,229.1,21.5,
783,2.8000,230.1,21.5,
Report,,,,
,,Creation time,6/7/2017 11:10:21 AM,
 ,,,,
6/7/2017 11:10:21 AM,SystemInternal,,1/1,
