TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B166-T15,Sample size,64.697 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 10:55:55 AM,,
Sample start time,,5/31/2017 10:55:55 AM,,
Sample size,,64.697 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 10:55:56 AM,,
Stir,,,,
Creation time,,5/31/2017 10:55:56 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 10:56:06 AM,,
Terminated at,,Potential,,
EST,,-19.8 mV,,
VEX,,2.6000 mL,,
VEND,,2.6000 mL,,
t,,13.87 min,,
QEND,,0.026000 mmol,,
QEX,,0.026000 mmol,,
EPD,,204.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-19.8,20.8,
18,0.1000,-35.5,20.8,
22,0.2000,-36.5,20.8,
42,0.3000,-32.6,20.8,
62,0.4000,-20.5,20.8,
82,0.5000,0.0,20.8,
102,0.6000,11.9,20.8,
122,0.7000,20.7,20.8,
142,0.8000,28.8,20.9,
162,0.9000,36.1,20.9,
182,1.0000,43.1,20.9,
202,1.1000,50.3,20.9,
208,1.2000,56.6,20.9,
228,1.3000,66.8,20.9,
248,1.4000,80.4,20.9,
268,1.5000,104.3,20.9,
288,1.6000,141.7,20.9,
308,1.7000,166.8,20.9,
328,1.8000,182.5,20.9,
348,1.9000,193.2,20.9,
364,2.0000,200.5,20.9,
733,2.0500,206.5,20.9,
743,2.1000,208.8,20.9,
752,2.1500,211.0,20.9,
761,2.2000,213.0,20.9,
770,2.2500,214.8,20.9,
779,2.3000,216.5,20.9,
786,2.3500,218.1,20.9,
795,2.4000,219.7,20.9,
802,2.4500,221.1,20.9,
809,2.5000,222.5,20.9,
817,2.5500,223.8,20.9,
823,2.6000,225.0,20.9,
Report,,,,
,,Creation time,5/31/2017 11:10:04 AM,
 ,,,,
5/31/2017 11:10:04 AM,SystemInternal,,1/1,
