TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032116-B211-T16,Sample size,62.846 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 10:07:24 AM,,
Sample start time,,6/7/2017 10:07:24 AM,,
Sample size,,62.846 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 10:07:24 AM,,
Stir,,,,
Creation time,,6/7/2017 10:07:24 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 10:07:35 AM,,
Terminated at,,Potential,,
EST,,-40.8 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,13.33 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,205.9 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-40.8,22.0,
5,0.1000,-43.3,22.0,
26,0.2000,-33.6,22.0,
46,0.3000,-11.9,22.0,
66,0.4000,7.6,21.9,
86,0.5000,18.5,21.9,
106,0.6000,26.9,21.9,
126,0.7000,34.4,21.9,
146,0.8000,41.1,21.9,
165,0.9000,47.6,21.9,
183,1.0000,54.3,21.9,
199,1.1000,61.5,21.9,
213,1.2000,70.0,21.8,
220,1.3000,80.3,21.8,
240,1.4000,96.9,21.8,
260,1.5000,127.7,21.8,
280,1.6000,156.3,21.8,
301,1.7000,177.5,21.8,
315,1.8000,189.7,21.8,
326,1.9000,198.0,21.8,
334,2.0000,204.3,21.8,
701,2.0500,208.3,21.5,
707,2.1000,210.5,21.5,
714,2.1500,212.7,21.5,
720,2.2000,214.6,21.5,
726,2.2500,216.5,21.5,
732,2.3000,218.1,21.5,
738,2.3500,219.8,21.5,
745,2.4000,221.3,21.5,
751,2.4500,222.7,21.5,
756,2.5000,224.0,21.5,
762,2.5500,225.3,21.5,
768,2.6000,226.5,21.5,
773,2.6500,227.6,21.5,
779,2.7000,228.7,21.5,
786,2.7500,229.8,21.5,
791,2.8000,230.8,21.5,
Report,,,,
,,Creation time,6/7/2017 10:21:01 AM,
 ,,,,
6/7/2017 10:21:01 AM,SystemInternal,,1/1,
