TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B133-T13,Sample size,63.650 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 12:15:55 PM,,
Sample start time,,5/17/2017 12:15:55 PM,,
Sample size,,63.650 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 12:15:55 PM,,
Stir,,,,
Creation time,,5/17/2017 12:15:56 PM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 12:16:06 PM,,
Terminated at,,Potential,,
EST,,-80.0 mV,,
VEX,,2.4000 mL,,
VEND,,2.4000 mL,,
t,,11.7 min,,
QEND,,0.024000 mmol,,
QEX,,0.024000 mmol,,
EPD,,203.0 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-80.0,22.5,
11,0.1000,-77.7,22.4,
31,0.2000,-69.5,22.4,
52,0.3000,-56.6,22.4,
72,0.4000,-33.2,22.4,
92,0.5000,-7.2,22.4,
112,0.6000,6.7,22.4,
132,0.7000,17.6,22.4,
152,0.8000,27.1,22.3,
157,0.9000,33.9,22.3,
164,1.0000,42.1,22.3,
171,1.1000,49.8,22.3,
178,1.2000,58.9,22.3,
184,1.3000,69.0,22.3,
191,1.4000,82.6,22.3,
198,1.5000,104.1,22.3,
218,1.6000,144.5,22.3,
238,1.7000,172.0,22.3,
258,1.8000,188.0,22.3,
270,1.9000,197.8,22.3,
638,1.9500,206.3,22.1,
645,2.0000,209.4,22.1,
652,2.0500,212.1,22.1,
659,2.1000,214.6,22.1,
666,2.1500,216.9,22.1,
672,2.2000,219.0,22.0,
677,2.2500,220.9,22.1,
682,2.3000,221.7,22.1,
688,2.3500,223.4,22.1,
694,2.4000,225.0,22.1,
Report,,,,
,,Creation time,5/17/2017 12:27:55 PM,
 ,,,,
5/17/2017 12:27:55 PM,SystemInternal,,1/1,
