TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B136-T14,Sample size,63.041 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 2:40:28 PM,,
Sample start time,,5/31/2017 2:40:28 PM,,
Sample size,,63.041 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 2:40:28 PM,,
Stir,,,,
Creation time,,5/31/2017 2:40:28 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 2:40:39 PM,,
Terminated at,,Potential,,
EST,,-35.0 mV,,
VEX,,2.9000 mL,,
VEND,,2.9000 mL,,
t,,14.4 min,,
QEND,,0.029000 mmol,,
QEX,,0.029000 mmol,,
EPD,,204.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-35.0,21.6,
18,0.1000,-43.9,21.6,
23,0.2000,-44.2,21.6,
43,0.3000,-39.4,21.6,
63,0.4000,-28.9,21.6,
83,0.5000,-8.8,21.6,
103,0.6000,4.0,21.6,
123,0.7000,13.9,21.6,
143,0.8000,21.9,21.6,
164,0.9000,29.1,21.6,
184,1.0000,36.3,21.6,
204,1.1000,43.1,21.6,
224,1.2000,50.2,21.6,
230,1.3000,56.5,21.6,
236,1.4000,63.4,21.6,
256,1.5000,77.0,21.6,
276,1.6000,98.1,21.6,
296,1.7000,134.9,21.6,
316,1.8000,163.5,21.6,
337,1.9000,180.9,21.6,
357,2.0000,192.5,21.6,
374,2.1000,200.5,21.6,
744,2.1500,206.7,21.6,
751,2.2000,209.0,21.6,
759,2.2500,211.2,21.6,
768,2.3000,213.3,21.6,
777,2.3500,215.2,21.6,
786,2.4000,217.0,21.6,
794,2.4500,218.7,21.6,
800,2.5000,220.2,21.6,
807,2.5500,221.6,21.6,
813,2.6000,223.0,21.6,
821,2.6500,224.4,21.6,
829,2.7000,225.6,21.6,
835,2.7500,226.8,21.6,
842,2.8000,227.9,21.6,
848,2.8500,229.0,21.6,
854,2.9000,230.1,21.6,
Report,,,,
,,Creation time,5/31/2017 2:55:08 PM,
 ,,,,
5/31/2017 2:55:08 PM,SystemInternal,,1/1,
