TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B160-T12,Sample size,60.762 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 10:24:29 AM,,
Sample start time,,6/7/2017 10:24:29 AM,,
Sample size,,60.762 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 10:24:30 AM,,
Stir,,,,
Creation time,,6/7/2017 10:24:30 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 10:24:40 AM,,
Terminated at,,Potential,,
EST,,-53.6 mV,,
VEX,,2.7000 mL,,
VEND,,2.7000 mL,,
t,,12.3 min,,
QEND,,0.027000 mmol,,
QEX,,0.027000 mmol,,
EPD,,203.1 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-53.6,21.9,
6,0.1000,-56.1,21.9,
26,0.2000,-47.5,21.9,
46,0.3000,-27.8,21.9,
66,0.4000,-1.1,21.9,
86,0.5000,12.1,21.9,
106,0.6000,21.8,21.8,
126,0.7000,30.2,21.8,
146,0.8000,38.1,21.8,
152,0.9000,44.4,21.8,
170,1.0000,52.3,21.8,
176,1.1000,60.6,21.8,
183,1.2000,69.1,21.8,
191,1.3000,81.2,21.8,
198,1.4000,98.8,21.8,
219,1.5000,135.7,21.8,
239,1.6000,167.9,21.7,
256,1.7000,184.5,21.7,
265,1.8000,194.5,21.7,
273,1.9000,201.8,21.7,
640,1.9500,205.9,21.5,
646,2.0000,208.4,21.5,
652,2.0500,210.8,21.5,
659,2.1000,213.0,21.5,
666,2.1500,214.9,21.5,
671,2.2000,216.8,21.5,
677,2.2500,218.5,21.5,
683,2.3000,220.1,21.5,
690,2.3500,221.7,21.5,
696,2.4000,223.1,21.5,
701,2.4500,224.4,21.5,
707,2.5000,225.7,21.5,
712,2.5500,227.0,21.5,
718,2.6000,228.1,21.5,
724,2.6500,229.2,21.5,
729,2.7000,230.3,21.5,
Report,,,,
,,Creation time,6/7/2017 10:37:04 AM,
 ,,,,
6/7/2017 10:37:04 AM,SystemInternal,,1/1,
