TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032616-B220-T14,Sample size,62.269 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 2:03:38 PM,,
Sample start time,,5/31/2017 2:03:38 PM,,
Sample size,,62.269 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 2:03:38 PM,,
Stir,,,,
Creation time,,5/31/2017 2:03:39 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 2:03:49 PM,,
Terminated at,,Potential,,
EST,,-12.5 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,13.22 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,205.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-12.5,21.2,
18,0.1000,-27.4,21.3,
23,0.2000,-27.8,21.3,
43,0.3000,-20.2,21.3,
63,0.4000,-0.5,21.3,
84,0.5000,14.0,21.3,
104,0.6000,23.1,21.3,
124,0.7000,30.6,21.3,
144,0.8000,37.3,21.3,
164,0.9000,43.8,21.3,
169,1.0000,49.2,21.4,
175,1.1000,54.8,21.3,
181,1.2000,60.9,21.3,
188,1.3000,69.7,21.4,
194,1.4000,80.3,21.4,
215,1.5000,105.3,21.4,
235,1.6000,143.9,21.4,
255,1.7000,169.6,21.4,
275,1.8000,185.0,21.4,
295,1.9000,195.4,21.4,
308,2.0000,202.2,21.4,
676,2.0500,207.5,21.4,
684,2.1000,209.8,21.4,
692,2.1500,211.9,21.4,
699,2.2000,213.9,21.4,
706,2.2500,215.7,21.4,
715,2.3000,217.5,21.4,
722,2.3500,219.1,21.4,
729,2.4000,220.6,21.4,
737,2.4500,222.1,21.4,
744,2.5000,223.4,21.4,
750,2.5500,224.7,21.4,
758,2.6000,226.0,21.4,
765,2.6500,227.2,21.4,
771,2.7000,228.2,21.4,
776,2.7500,229.3,21.4,
784,2.8000,230.4,21.4,
Report,,,,
,,Creation time,5/31/2017 2:17:08 PM,
 ,,,,
5/31/2017 2:17:08 PM,SystemInternal,,1/1,
