TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B134-T13,Sample size,66.250 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 2:20:54 PM,,
Sample start time,,5/31/2017 2:20:54 PM,,
Sample size,,66.250 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 2:20:54 PM,,
Stir,,,,
Creation time,,5/31/2017 2:20:54 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 2:21:05 PM,,
Terminated at,,Potential,,
EST,,-22.7 mV,,
VEX,,3.0000 mL,,
VEND,,3.0000 mL,,
t,,13.58 min,,
QEND,,0.030000 mmol,,
QEX,,0.030000 mmol,,
EPD,,207.6 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-22.7,21.4,
18,0.1000,-36.3,21.4,
23,0.2000,-36.6,21.4,
43,0.3000,-30.2,21.4,
63,0.4000,-17.0,21.4,
83,0.5000,2.3,21.5,
103,0.6000,13.6,21.5,
124,0.7000,22.1,21.5,
144,0.8000,29.5,21.5,
164,0.9000,36.6,21.5,
184,1.0000,42.8,21.5,
189,1.1000,48.2,21.5,
194,1.2000,53.4,21.5,
214,1.3000,62.1,21.5,
221,1.4000,70.5,21.5,
228,1.5000,81.8,21.5,
233,1.6000,99.9,21.5,
254,1.7000,139.8,21.5,
274,1.8000,163.7,21.5,
294,1.9000,180.7,21.5,
314,2.0000,191.9,21.5,
328,2.1000,199.5,21.5,
338,2.2000,205.1,21.5,
707,2.2500,209.7,21.5,
715,2.3000,211.7,21.5,
722,2.3500,213.6,21.5,
729,2.4000,215.4,21.5,
736,2.4500,217.1,21.5,
743,2.5000,218.7,21.5,
748,2.5500,220.1,21.5,
756,2.6000,221.5,21.5,
763,2.6500,222.9,21.5,
769,2.7000,224.1,21.5,
775,2.7500,225.1,21.5,
782,2.8000,226.2,21.5,
788,2.8500,227.3,21.5,
794,2.9000,228.4,21.5,
800,2.9500,229.4,21.5,
806,3.0000,230.4,21.5,
Report,,,,
,,Creation time,5/31/2017 2:34:46 PM,
 ,,,,
5/31/2017 2:34:46 PM,SystemInternal,,1/1,
