TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B209-T15,Sample size,66.121 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 12:24:44 PM,,
Sample start time,,5/31/2017 12:24:44 PM,,
Sample size,,66.121 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 12:24:44 PM,,
Stir,,,,
Creation time,,5/31/2017 12:24:44 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 12:24:55 PM,,
Terminated at,,Potential,,
EST,,-88.5 mV,,
VEX,,2.6500 mL,,
VEND,,2.6500 mL,,
t,,13.25 min,,
QEND,,0.026500 mmol,,
QEX,,0.026500 mmol,,
EPD,,201.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-88.5,21.0,
15,0.1000,-85.3,21.0,
35,0.2000,-77.1,21.1,
55,0.3000,-64.7,21.1,
75,0.4000,-43.7,21.1,
95,0.5000,-16.7,21.1,
115,0.6000,-2.2,21.1,
136,0.7000,9.3,21.1,
156,0.8000,19.4,21.1,
176,0.9000,28.1,21.1,
196,1.0000,36.8,21.1,
216,1.1000,45.4,21.1,
224,1.2000,54.1,21.1,
230,1.3000,62.3,21.1,
250,1.4000,76.7,21.1,
256,1.5000,95.2,21.1,
276,1.6000,134.7,21.2,
296,1.7000,164.4,21.2,
316,1.8000,181.2,21.2,
332,1.9000,191.8,21.2,
343,2.0000,199.1,21.2,
711,2.0500,204.3,21.2,
717,2.1000,206.8,21.2,
724,2.1500,209.1,21.2,
729,2.2000,211.1,21.2,
736,2.2500,213.1,21.2,
742,2.3000,214.9,21.2,
749,2.3500,216.6,21.2,
756,2.4000,218.2,21.2,
762,2.4500,219.7,21.2,
769,2.5000,221.1,21.2,
775,2.5500,222.4,21.2,
781,2.6000,223.7,21.2,
786,2.6500,224.9,21.2,
Report,,,,
,,Creation time,5/31/2017 12:38:16 PM,
 ,,,,
5/31/2017 12:38:16 PM,SystemInternal,,1/1,
