TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032616-B218-T13,Sample size,64.573 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 10:39:34 AM,,
Sample start time,,6/7/2017 10:39:34 AM,,
Sample size,,64.573 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 10:39:34 AM,,
Stir,,,,
Creation time,,6/7/2017 10:39:35 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 10:39:45 AM,,
Terminated at,,Potential,,
EST,,-70.0 mV,,
VEX,,2.8500 mL,,
VEND,,2.8500 mL,,
t,,13.38 min,,
QEND,,0.028500 mmol,,
QEX,,0.028500 mmol,,
EPD,,203.8 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-70.0,21.9,
6,0.1000,-70.9,21.9,
26,0.2000,-64.7,21.9,
46,0.3000,-53.1,21.9,
66,0.4000,-30.6,21.9,
86,0.5000,-5.7,21.9,
106,0.6000,7.5,21.9,
127,0.7000,17.6,21.9,
147,0.8000,26.7,21.8,
167,0.9000,35.2,21.8,
172,1.0000,41.8,21.8,
192,1.1000,50.7,21.8,
199,1.2000,59.3,21.8,
219,1.3000,70.4,21.8,
239,1.4000,85.3,21.8,
259,1.5000,109.4,21.8,
279,1.6000,148.7,21.8,
299,1.7000,173.6,21.8,
314,1.8000,187.0,21.7,
324,1.9000,195.9,21.7,
332,2.0000,202.5,21.7,
699,2.0500,206.3,21.5,
706,2.1000,208.7,21.5,
713,2.1500,210.8,21.5,
719,2.2000,212.9,21.5,
725,2.2500,214.7,21.5,
732,2.3000,216.5,21.5,
738,2.3500,218.1,21.5,
743,2.4000,219.7,21.5,
749,2.4500,221.1,21.5,
755,2.5000,222.5,21.5,
761,2.5500,223.8,21.5,
766,2.6000,225.0,21.5,
772,2.6500,226.1,21.5,
777,2.7000,227.3,21.5,
782,2.7500,228.3,21.5,
788,2.8000,229.4,21.5,
794,2.8500,230.4,21.5,
Report,,,,
,,Creation time,6/7/2017 10:53:14 AM,
 ,,,,
6/7/2017 10:53:14 AM,SystemInternal,,1/1,
