TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031716-B125-T5,Sample size,64.623 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 11:35:47 AM,,
Sample start time,,5/17/2017 11:35:47 AM,,
Sample size,,64.623 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 11:35:48 AM,,
Stir,,,,
Creation time,,5/17/2017 11:35:48 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 11:35:58 AM,,
Terminated at,,Potential,,
EST,,-57.7 mV,,
VEX,,2.5500 mL,,
VEND,,2.5500 mL,,
t,,11.33 min,,
QEND,,0.025500 mmol,,
QEX,,0.025500 mmol,,
EPD,,199.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-57.7,22.6,
4,0.1000,-61.1,22.6,
10,0.2000,-59.8,22.6,
30,0.3000,-51.3,22.6,
50,0.4000,-33.9,22.6,
70,0.5000,-6.9,22.6,
90,0.6000,5.7,22.6,
101,0.7000,14.8,22.5,
107,0.8000,23.0,22.5,
113,0.9000,30.1,22.5,
119,1.0000,37.3,22.5,
140,1.1000,46.6,22.5,
146,1.2000,53.7,22.5,
153,1.3000,62.2,22.5,
159,1.4000,71.4,22.5,
166,1.5000,83.6,22.5,
172,1.6000,101.5,22.5,
192,1.7000,137.8,22.5,
212,1.8000,168.3,22.5,
232,1.9000,185.4,22.5,
246,2.0000,195.9,22.5,
614,2.0500,203.3,22.3,
620,2.1000,206.4,22.3,
626,2.1500,209.3,22.3,
632,2.2000,211.9,22.3,
638,2.2500,214.3,22.2,
644,2.3000,216.4,22.3,
649,2.3500,218.4,22.2,
654,2.4000,220.3,22.2,
660,2.4500,222.0,22.2,
666,2.5000,223.7,22.2,
671,2.5500,225.2,22.2,
Report,,,,
,,Creation time,5/17/2017 11:47:24 AM,
 ,,,,
5/17/2017 11:47:24 AM,SystemInternal,,1/1,
