TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B162-T13,Sample size,61.784 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 11:13:08 AM,,
Sample start time,,6/7/2017 11:13:08 AM,,
Sample size,,61.784 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 11:13:09 AM,,
Stir,,,,
Creation time,,6/7/2017 11:13:09 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 11:13:19 AM,,
Terminated at,,Potential,,
EST,,-68.2 mV,,
VEX,,2.7500 mL,,
VEND,,2.7500 mL,,
t,,12.95 min,,
QEND,,0.027500 mmol,,
QEX,,0.027500 mmol,,
EPD,,201.0 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-68.2,21.9,
5,0.1000,-71.5,21.9,
25,0.2000,-65.7,21.9,
45,0.3000,-52.8,21.9,
66,0.4000,-26.4,21.9,
86,0.5000,-4.1,21.9,
106,0.6000,8.9,21.9,
126,0.7000,19.6,21.8,
146,0.8000,29.3,21.8,
166,0.9000,37.9,21.8,
186,1.0000,46.6,21.8,
206,1.1000,56.1,21.8,
214,1.2000,66.4,21.8,
219,1.3000,78.0,21.8,
225,1.4000,97.3,21.8,
245,1.5000,133.1,21.8,
265,1.6000,161.6,21.7,
284,1.7000,181.1,21.7,
295,1.8000,192.2,21.7,
303,1.9000,200.0,21.7,
670,1.9500,203.9,21.5,
677,2.0000,206.7,21.5,
684,2.0500,209.1,21.5,
691,2.1000,211.4,21.5,
697,2.1500,213.5,21.5,
703,2.2000,215.4,21.5,
710,2.2500,217.2,21.5,
716,2.3000,218.8,21.5,
722,2.3500,220.4,21.5,
728,2.4000,221.8,21.5,
734,2.4500,223.2,21.5,
739,2.5000,224.5,21.5,
745,2.5500,225.8,21.5,
750,2.6000,227.0,21.5,
757,2.6500,228.1,21.5,
763,2.7000,229.2,21.5,
768,2.7500,230.2,21.5,
Report,,,,
,,Creation time,6/7/2017 11:26:22 AM,
 ,,,,
6/7/2017 11:26:22 AM,SystemInternal,,1/1,
