TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,03211-B203-T12,Sample size,61.643 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 11:45:35 AM,,
Sample start time,,6/7/2017 11:45:35 AM,,
Sample size,,61.643 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 11:45:35 AM,,
Stir,,,,
Creation time,,6/7/2017 11:45:36 AM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 11:45:46 AM,,
Terminated at,,Potential,,
EST,,-36.8 mV,,
VEX,,2.6500 mL,,
VEND,,2.6500 mL,,
t,,12.45 min,,
QEND,,0.026500 mmol,,
QEX,,0.026500 mmol,,
EPD,,202.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-36.8,22.1,
18,0.1000,-33.2,22.1,
38,0.2000,-8.5,22.0,
58,0.3000,5.6,22.0,
78,0.4000,15.6,22.0,
98,0.5000,23.9,22.0,
118,0.6000,31.5,22.0,
138,0.7000,38.6,21.9,
156,0.8000,45.7,21.9,
175,0.9000,53.0,21.9,
182,1.0000,60.8,21.9,
201,1.1000,70.2,21.9,
206,1.2000,80.8,21.9,
212,1.3000,97.7,21.9,
233,1.4000,134.8,21.9,
253,1.5000,167.7,21.9,
264,1.6000,183.9,21.9,
274,1.7000,194.2,21.8,
281,1.8000,201.5,21.8,
648,1.8500,206.1,21.6,
654,1.9000,208.7,21.6,
660,1.9500,211.1,21.6,
666,2.0000,213.1,21.6,
672,2.0500,215.1,21.6,
678,2.1000,216.9,21.6,
684,2.1500,218.6,21.6,
690,2.2000,220.2,21.6,
695,2.2500,221.7,21.6,
700,2.3000,222.8,21.6,
706,2.3500,224.1,21.6,
711,2.4000,225.4,21.6,
716,2.4500,226.6,21.6,
722,2.5000,227.8,21.6,
727,2.5500,228.9,21.6,
732,2.6000,229.9,21.6,
738,2.6500,230.9,21.6,
Report,,,,
,,Creation time,6/7/2017 11:58:19 AM,
 ,,,,
6/7/2017 11:58:19 AM,SystemInternal,,1/1,
