TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B147-T2,Sample size,68.610 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 12:34:07 PM,,
Sample start time,,5/17/2017 12:34:07 PM,,
Sample size,,68.610 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 12:34:07 PM,,
Stir,,,,
Creation time,,5/17/2017 12:34:08 PM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 12:34:18 PM,,
Terminated at,,Potential,,
EST,,-73.6 mV,,
VEX,,2.5000 mL,,
VEND,,2.5000 mL,,
t,,12.02 min,,
QEND,,0.025000 mmol,,
QEX,,0.025000 mmol,,
EPD,,202.0 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-73.6,22.6,
6,0.1000,-74.2,22.6,
26,0.2000,-67.3,22.6,
46,0.3000,-55.5,22.6,
66,0.4000,-34.1,22.6,
87,0.5000,-8.6,22.5,
107,0.6000,4.7,22.5,
127,0.7000,15.5,22.5,
147,0.8000,24.7,22.5,
152,0.9000,30.9,22.5,
172,1.0000,40.0,22.5,
179,1.1000,47.1,22.5,
199,1.2000,56.2,22.5,
207,1.3000,65.1,22.5,
215,1.4000,75.1,22.5,
222,1.5000,88.4,22.5,
229,1.6000,110.8,22.5,
249,1.7000,149.5,22.4,
261,1.8000,172.9,22.4,
277,1.9000,187.7,22.4,
288,2.0000,197.3,22.4,
655,2.0500,205.2,22.2,
661,2.1000,208.1,22.2,
668,2.1500,210.8,22.2,
675,2.2000,213.2,22.2,
682,2.2500,215.5,22.2,
688,2.3000,217.5,22.2,
694,2.3500,219.4,22.2,
700,2.4000,221.2,22.2,
706,2.4500,222.8,22.2,
712,2.5000,224.4,22.2,
Report,,,,
,,Creation time,5/17/2017 12:46:25 PM,
 ,,,,
5/17/2017 12:46:25 PM,SystemInternal,,1/1,
