TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,032616-B224-T16,Sample size,62.735 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,6/7/2017 12:02:14 PM,,
Sample start time,,6/7/2017 12:02:14 PM,,
Sample size,,62.735 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,6/7/2017 12:02:15 PM,,
Stir,,,,
Creation time,,6/7/2017 12:02:15 PM,,
Titration (EQP) [1],,,,
Creation time,,6/7/2017 12:02:25 PM,,
Terminated at,,Potential,,
EST,,-44.2 mV,,
VEX,,2.7500 mL,,
VEND,,2.7500 mL,,
t,,12.82 min,,
QEND,,0.027500 mmol,,
QEX,,0.027500 mmol,,
EPD,,203.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-44.2,22.1,
18,0.1000,-44.0,22.1,
38,0.2000,-20.6,22.1,
58,0.3000,-1.3,22.0,
78,0.4000,10.2,22.0,
98,0.5000,19.2,22.0,
118,0.6000,27.0,22.0,
138,0.7000,34.6,22.0,
158,0.8000,41.6,22.0,
178,0.9000,48.5,21.9,
185,1.0000,56.2,21.9,
201,1.1000,64.0,21.9,
218,1.2000,73.9,21.9,
235,1.3000,86.7,21.9,
240,1.4000,105.7,21.9,
260,1.5000,143.9,21.9,
279,1.6000,171.9,21.9,
289,1.7000,186.2,21.9,
297,1.8000,195.7,21.8,
304,1.9000,202.6,21.8,
671,1.9500,205.9,21.6,
677,2.0000,208.4,21.6,
682,2.0500,210.8,21.6,
688,2.1000,212.8,21.6,
694,2.1500,214.8,21.6,
700,2.2000,216.6,21.6,
706,2.2500,218.3,21.6,
712,2.3000,219.9,21.6,
717,2.3500,221.3,21.6,
722,2.4000,222.8,21.6,
728,2.4500,224.1,21.5,
733,2.5000,225.4,21.5,
738,2.5500,226.5,21.6,
743,2.6000,227.7,21.5,
749,2.6500,228.8,21.5,
754,2.7000,229.8,21.5,
760,2.7500,230.8,21.5,
Report,,,,
,,Creation time,6/7/2017 12:15:20 PM,
 ,,,,
6/7/2017 12:15:20 PM,SystemInternal,,1/1,
