TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B158-T11,Sample size,63.998 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 11:32:08 AM,,
Sample start time,,5/31/2017 11:32:08 AM,,
Sample size,,63.998 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 11:32:08 AM,,
Stir,,,,
Creation time,,5/31/2017 11:32:09 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 11:32:19 AM,,
Terminated at,,Potential,,
EST,,-45.5 mV,,
VEX,,2.6500 mL,,
VEND,,2.6500 mL,,
t,,12.78 min,,
QEND,,0.026500 mmol,,
QEX,,0.026500 mmol,,
EPD,,201.1 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-45.5,21.2,
18,0.1000,-55.9,21.2,
24,0.2000,-55.5,21.2,
44,0.3000,-48.8,21.2,
64,0.4000,-34.9,21.2,
84,0.5000,-10.7,21.2,
104,0.6000,4.0,21.2,
124,0.7000,14.7,21.2,
144,0.8000,23.1,21.2,
165,0.9000,30.9,21.2,
185,1.0000,38.8,21.2,
190,1.1000,45.7,21.2,
195,1.2000,51.0,21.2,
200,1.3000,58.5,21.2,
206,1.4000,69.3,21.2,
212,1.5000,84.6,21.2,
232,1.6000,120.9,21.2,
252,1.7000,156.2,21.2,
272,1.8000,176.6,21.2,
292,1.9000,189.5,21.2,
308,2.0000,198.0,21.2,
676,2.0500,203.8,21.2,
683,2.1000,206.4,21.2,
692,2.1500,208.8,21.2,
701,2.2000,211.0,21.2,
707,2.2500,213.0,21.2,
713,2.3000,214.8,21.2,
721,2.3500,216.6,21.2,
726,2.4000,218.3,21.2,
732,2.4500,219.8,21.2,
739,2.5000,221.2,21.2,
745,2.5500,222.6,21.2,
752,2.6000,223.9,21.2,
758,2.6500,225.2,21.2,
Report,,,,
,,Creation time,5/31/2017 11:45:11 AM,
 ,,,,
5/31/2017 11:45:11 AM,SystemInternal,,1/1,
